phase,action,target,detail
2,rename bahan baku,MM-RM-0173,"""Tteokboki Frozen"" → ""Tteokbokki Frozen"" (94%)"
2,rename WIP,MM-WIP-0032,"""Minched Beef WIP"" → ""Minced Beef WIP"" (94%)"
2,rename produk,MM-STALL-04-014,"""Spicy Tteokboki Gyoza"" → ""Spicy Tteokbokki Gyoza"" (95%)"
2,rename produk,MM-STALL-05-028,"""Salmon Philadelpia"" → ""Salmon Philadelphia"" (95%)"
2,rename produk,MM-STALL-06-033,"""Shuffle Pancake Mochi Chocolate"" → ""Souffle Pancake Mochi Chocolate"" (97%)"
2,rename produk,MM-STALL-06-035,"""Shuffle Pancake Mochi Hojicha"" → ""Souffle Pancake Mochi Hojicha"" (97%)"
2,rename produk,MM-STALL-06-034,"""Shuffle Pancake Mochi Matcha"" → ""Souffle Pancake Mochi Matcha"" (96%)"
2,rename produk,MM-STALL-06-036,"""Shuffle Pancake Mochi Vanilla"" → ""Souffle Pancake Mochi Vanilla"" (97%)"
2,rename produk,MM-STALL-08-052,"""Cheese Minched Katsu"" → ""Cheese Minced Katsu"" (95%)"
2,rename produk,MM-STALL-11-069,"""Beefu Udon"" → ""Beef Udon"" (90%)"
2,rename produk,MM-STALL-13-073,"""Beefu Hikiniku"" → ""Beef Hikiniku"" (93%)"
1,update bahan baku,MM-RM-0002 Garam,"satuan_besar GR → PACK, konversi 1.0000 → 500 — biaya/satuan → 16"
1,update bahan baku,MM-RM-0004 Rice Vinegar,"satuan_besar ML → BTL, konversi 1.0000 → 600 — biaya/satuan → 48,83"
1,update bahan baku,MM-RM-0006 Sesame Oil,"satuan_besar ML → BTL, konversi 1.0000 → 620 — biaya/satuan → 62,9"
1,update bahan baku,MM-RM-0007 Air,"satuan_besar L → GAL — biaya/satuan → 1,06"
1,update bahan baku,MM-RM-0008 Telur Ayam,"satuan_besar BUTIR → KG, konversi 1.0000 → 14 — biaya/satuan → 1.785,71"
1,update bahan baku,MM-RM-0012 Hondashi,"satuan_besar KG → PACK — biaya/satuan → 155,5"
1,update bahan baku,MM-RM-0013 Gochujang Paste,"satuan_besar GR → PACK, konversi 1.0000 → 900 — biaya/satuan → 138,78"
1,update bahan baku,MM-RM-0018 Togarashi / Chili Powder,"satuan_besar GR → PACK, konversi 1.0000 → 300 — biaya/satuan → 351,67"
1,update bahan baku,MM-RM-0020 Royco,"satuan_besar GR → PACK, konversi 1.0000 → 220 — biaya/satuan → 43,18"
1,update bahan baku,MM-RM-0023 Shoyu,satuan_besar L → BTL — biaya/satuan → 75
1,update bahan baku,MM-RM-0024 Curry Powder,"satuan_besar GR → PACK, konversi 1.0000 → 500 — biaya/satuan → 136"
